                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.81709,                 1.0192,                0.46736,                0.87251,                0.89407,                0.86044,                 0.9054,                0.63971,                0.77897,                0.72971,                0.76697,                0.42954,                0.99586,                 1.1859,                0.56557,                0.85465,              0.0007624,              0.0007624,              0.0007624
                     26,                0.81314,                  1.002,                0.46604,                 0.8724,                0.87793,                0.85389,                0.90448,                0.64186,                 0.7739,                0.72559,                0.76677,                0.43529,                0.96056,                 1.1862,                0.55036,                0.85004,              0.0007525,              0.0007525,              0.0007525
                     27,                0.80735,                 0.9898,                0.46991,                0.86763,                0.89049,                 0.8646,                  0.903,                0.64022,                 0.7848,                0.75065,                0.76841,                0.43629,                0.94337,                 1.1691,                0.56216,                0.85006,              0.0007426,              0.0007426,              0.0007426
                     28,                0.80806,                 1.0081,                 0.4629,                0.87329,                0.88731,                0.85449,                0.90747,                0.64345,                0.77964,                0.73293,                0.76585,                0.44714,                0.96512,                 1.1559,                0.56127,                0.85129,              0.0007327,              0.0007327,              0.0007327
                     29,                0.81484,                 1.0118,                  0.467,                0.86449,                0.87084,                0.85224,                0.90235,                0.63946,                0.78347,                0.72462,                0.77393,                0.44543,                0.95727,                  1.135,                0.57054,                0.85253,              0.0007228,              0.0007228,              0.0007228
                     30,                0.79504,                0.97941,                0.45454,                 0.8687,                0.87179,                0.86735,                0.90359,                 0.6465,                0.76505,                0.73895,                0.77066,                0.44841,                0.94387,                 1.1643,                0.54264,                0.84971,              0.0007129,              0.0007129,              0.0007129
                     31,                0.77553,                0.97017,                0.45193,                0.86657,                0.88432,                0.86733,                0.90365,                0.64703,                0.77628,                0.76065,                0.79035,                0.46429,                0.93632,                  1.173,                0.54811,                0.84725,               0.000703,               0.000703,               0.000703
                     32,                0.78114,                0.96769,                0.44438,                0.86699,                0.89005,                0.86763,                0.91461,                0.65898,                0.78461,                0.74013,                0.77553,                0.45375,                0.93611,                 1.1562,                0.54019,                0.84749,              0.0006931,              0.0006931,              0.0006931
                     33,                 0.7745,                0.97318,                 0.4489,                0.86293,                0.86907,                0.87813,                 0.9113,                0.65178,                0.78834,                0.76736,                0.79687,                0.46128,                0.92971,                 1.1825,                0.55134,                0.84564,              0.0006832,              0.0006832,              0.0006832
                     34,                0.77723,                0.95055,                0.44518,                 0.8689,                0.89073,                0.86048,                0.90926,                0.65458,                0.78045,                0.75219,                0.78258,                 0.4518,                0.93712,                 1.1152,                0.55417,                0.84284,              0.0006733,              0.0006733,              0.0006733
                     35,                 0.7687,                0.96616,                0.43881,                0.86158,                 0.8762,                0.85557,                0.90245,                0.64617,                0.76103,                0.72012,                0.76729,                0.44587,                0.94639,                  1.156,                0.53018,                0.84419,              0.0006634,              0.0006634,              0.0006634
                     36,                0.78295,                0.97215,                0.44458,                0.86581,                0.89498,                0.85368,                0.91363,                0.66252,                0.79157,                0.74446,                0.78806,                0.45649,                0.91187,                 1.1465,                0.53452,                0.84131,              0.0006535,              0.0006535,              0.0006535
